epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.2919,0.4154,0.32547,0.84371,0.70806,0.66434,0.67771,0.44506,0.97233,0.97403,0.93549,0.000398182,0.000398182,0.0506255
2,145.084,0.38106,0.29958,0.83188,0.73922,0.70736,0.675,0.49228,0.88827,0.89168,0.91491,0.000797434,0.000797434,0.00102471
3,207.326,0.38141,0.2927,0.83014,0.72937,0.73149,0.78094,0.55081,0.92466,0.94521,0.93139,0.000797004,0.000797004,0.000797004
4,269.531,0.38169,0.28615,0.82861,0.54739,0.78092,0.66393,0.46841,0.92202,0.96072,0.92278,0.000793269,0.000793269,0.000793269
5,329.841,0.36476,0.27494,0.82496,0.60125,0.74483,0.71725,0.46095,0.96893,0.92903,0.94588,0.000788062,0.000788062,0.000788062
6,389.805,0.35387,0.27125,0.82288,0.70747,0.71306,0.7025,0.48821,0.92659,0.95589,0.92301,0.000781401,0.000781401,0.000781401
7,451.232,0.36361,0.27477,0.82411,0.78296,0.71704,0.75028,0.48848,0.90566,0.86561,0.92451,0.000773315,0.000773315,0.000773315
8,511.731,0.35942,0.273,0.82247,0.69681,0.71245,0.67421,0.47957,0.94511,0.93851,0.91737,0.000763834,0.000763834,0.000763834
9,571.685,0.34272,0.2576,0.81717,0.74617,0.60165,0.6271,0.42778,1.07937,1.0392,0.98408,0.000752997,0.000752997,0.000752997
10,632.51,0.33889,0.25636,0.81741,0.65348,0.74283,0.73393,0.49111,0.93517,0.89928,0.93342,0.000740845,0.000740845,0.000740845
11,692.994,0.34662,0.26166,0.82,0.80286,0.63096,0.68894,0.46278,0.9954,0.99484,0.94628,0.000727426,0.000727426,0.000727426
12,754.044,0.34292,0.25485,0.81696,0.65125,0.79916,0.73549,0.50298,0.95546,0.92046,0.94632,0.000712795,0.000712795,0.000712795
13,814.417,0.33804,0.25385,0.81721,0.76357,0.7034,0.73189,0.50836,0.96746,0.92998,0.94622,0.000697008,0.000697008,0.000697008
14,875.403,0.33815,0.25104,0.81572,0.70596,0.74656,0.73882,0.48951,0.95298,0.89552,0.94629,0.000680128,0.000680128,0.000680128
15,936.532,0.33082,0.24539,0.81438,0.71856,0.67266,0.72265,0.49414,0.93803,0.92102,0.93403,0.000662221,0.000662221,0.000662221
