epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4032,0.21941,0.16233,0.76908,0.99897,0.99706,0.995,0.97373,0.18037,0.14826,0.76462,0.00027608,0.00027608,0.00027608
2,42.3293,0.22877,0.16627,0.76817,0.99874,0.99759,0.995,0.97614,0.19798,0.15628,0.76463,0.000535473,0.000535473,0.000535473
3,62.4935,0.22367,0.16704,0.76603,0.99851,0.9978,0.995,0.97561,0.20179,0.15959,0.76685,0.00077654,0.00077654,0.00077654
4,84.1084,0.23655,0.17361,0.76914,0.99874,0.99758,0.995,0.96666,0.23512,0.16647,0.76953,0.000750533,0.000750533,0.000750533
5,104.218,0.22981,0.16807,0.76821,0.99838,0.99762,0.995,0.97762,0.18078,0.15047,0.76399,0.000723044,0.000723044,0.000723044
6,124.834,0.22125,0.16208,0.76724,0.99867,0.99723,0.995,0.96446,0.27612,0.17479,0.77176,0.000695555,0.000695555,0.000695555
7,145.73,0.23212,0.16957,0.76891,0.99882,0.99676,0.995,0.97733,0.19727,0.1537,0.76551,0.000668066,0.000668066,0.000668066
8,165.99,0.21222,0.16379,0.76904,0.99867,0.99687,0.995,0.97725,0.18085,0.15127,0.76502,0.000640577,0.000640577,0.000640577
9,188.119,0.20545,0.15793,0.76568,0.99864,0.99751,0.995,0.97716,0.17843,0.14573,0.76454,0.000613088,0.000613088,0.000613088
10,208.151,0.20876,0.15653,0.76784,0.9988,0.9978,0.995,0.97967,0.18196,0.14669,0.76455,0.000585599,0.000585599,0.000585599
11,229.956,0.20759,0.15518,0.76502,0.99863,0.99718,0.995,0.95554,0.28124,0.16962,0.77141,0.00055811,0.00055811,0.00055811
12,250,0.21798,0.1568,0.76669,0.99866,0.99735,0.995,0.96486,0.23252,0.15757,0.76709,0.000530621,0.000530621,0.000530621
13,271.885,0.21216,0.15644,0.76774,0.99862,0.99753,0.995,0.96735,0.24404,0.15879,0.76903,0.000503132,0.000503132,0.000503132
14,292.042,0.19515,0.14753,0.76387,0.99882,0.99775,0.995,0.97619,0.2008,0.14489,0.76534,0.000475643,0.000475643,0.000475643
15,313.511,0.19655,0.14784,0.76582,0.99879,0.99779,0.995,0.97765,0.19045,0.14399,0.76424,0.000448154,0.000448154,0.000448154
16,334.231,0.19796,0.1492,0.76488,0.99875,0.9978,0.995,0.9796,0.16938,0.13657,0.76309,0.000420665,0.000420665,0.000420665
17,354.758,0.19371,0.14723,0.76572,0.99875,0.9978,0.995,0.97881,0.171,0.13636,0.76341,0.000393176,0.000393176,0.000393176
18,376.353,0.1845,0.14304,0.76559,0.99875,0.99773,0.995,0.97765,0.17145,0.13613,0.76338,0.000365687,0.000365687,0.000365687
19,396.464,0.18701,0.14334,0.76674,0.99876,0.99759,0.995,0.97202,0.20053,0.14497,0.76504,0.000338198,0.000338198,0.000338198
20,418.508,0.18235,0.14201,0.7644,0.99875,0.99776,0.995,0.97365,0.18852,0.13798,0.76379,0.000310709,0.000310709,0.000310709
